,i1_legid,i1_hops,i1_dep_1_place,i1_rcf_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_dep_2_place,i1_rcf_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_dep_3_place,i1_rcf_3_place,i1_rcf_3_p,i1_rcf_3_e,origin,desti,order_date,planned_date,deliver_date,lead_time,value,cargo_price_unit,weight,risk_1,risk_2,risk_3,risk_all,distance,cargo_price
32,10507,1,FRA,MUC,200,168,?,?,0,0,?,?,0,0,FRA,MUC,2019-02-02 02:39:24,2019-02-02 05:59:24,2019-02-02 05:27:24,168,79313,0.49,2.13,3.0,0.0,0.0,3.0,186.0,194.13
33,12419,2,FCO,LHR,115,136,LHR,PVG,775,791,?,?,0,0,FCO,PVG,2019-03-06 03:46:49,2019-03-06 18:36:49,2019-03-06 19:13:49,927,79417,0.41,2.92,2.5,2.0,0.0,4.5,5693.0,6815.66
34,9449,1,CPH,FRA,455,191,?,?,0,0,?,?,0,0,CPH,FRA,2019-02-19 05:01:28,2019-02-19 12:36:28,2019-02-19 08:12:28,191,42599,0.72,3.68,3.5,0.0,0.0,3.5,422.0,1118.13
35,7564,1,CPH,FRA,455,182,?,?,0,0,?,?,0,0,CPH,FRA,2019-02-25 13:23:07,2019-02-25 20:58:07,2019-02-25 16:25:07,182,87827,0.38,2.18,3.5,0.0,0.0,3.5,422.0,349.58
36,10705,1,PVG,AMS,810,816,?,?,0,0,?,?,0,0,PVG,AMS,2019-03-18 07:55:40,2019-03-18 21:25:40,2019-03-18 21:31:40,816,29251,0.3,3.07,4.0,0.0,0.0,4.0,5533.0,5095.89
37,11901,1,LHR,DOH,970,723,?,?,0,0,?,?,0,0,LHR,DOH,2019-03-20 04:14:32,2019-03-20 20:24:32,2019-03-20 16:17:32,723,15094,0.61,1.65,2.0,0.0,0.0,2.0,3255.0,3276.16
38,6777,1,CDG,PVG,1240,995,?,?,0,0,?,?,0,0,CDG,PVG,2019-01-29 10:28:13,2019-01-30 07:08:13,2019-01-30 03:03:13,995,87515,0.63,4.77,3.0,0.0,0.0,3.0,5754.0,17291.35
39,12335,1,FCO,LHR,155,168,?,?,0,0,?,?,0,0,FCO,LHR,2019-01-14 20:38:53,2019-01-14 23:13:53,2019-01-14 23:26:53,168,84709,0.5,4.39,2.5,0.0,0.0,2.5,897.0,1968.92
40,13171,1,PVG,DEL,850,547,?,?,0,0,?,?,0,0,PVG,DEL,2019-03-20 14:45:15,2019-03-21 04:55:15,2019-03-20 23:52:15,547,37675,0.64,2.48,2.5,0.0,0.0,2.5,2665.0,4229.89
41,13743,1,LHR,TLV,785,517,?,?,0,0,?,?,0,0,LHR,TLV,2019-02-25 12:31:17,2019-02-26 01:36:17,2019-02-25 21:08:17,517,2486,0.65,0.27,2.5,0.0,0.0,2.5,2228.0,391.01
42,6531,1,LHR,DOH,970,790,?,?,0,0,?,?,0,0,LHR,DOH,2019-02-28 13:09:53,2019-03-01 05:19:53,2019-03-01 02:19:53,790,8388,0.3,3.52,2.0,0.0,0.0,2.0,3255.0,3437.28
43,12361,1,MUC,FRA,375,346,?,?,0,0,?,?,0,0,MUC,FRA,2019-02-10 19:24:35,2019-02-11 01:39:35,2019-02-11 01:10:35,346,20519,0.63,4.73,3.0,0.0,0.0,3.0,186.0,554.26
44,9073,1,BKK,PVG,1105,712,?,?,0,0,?,?,0,0,BKK,PVG,2019-02-26 21:02:37,2019-02-27 15:27:37,2019-02-27 08:54:37,712,19003,0.57,1.47,2.0,0.0,0.0,2.0,1799.0,1507.38
45,12379,2,FCO,LHR,115,116,LHR,IST,805,670,?,?,0,0,FCO,IST,2019-01-28 21:55:03,2019-01-29 13:15:03,2019-01-29 11:01:03,786,86536,0.74,3.31,2.5,2.5,0.0,5.0,859.0,2104.03
46,2159,1,PVG,FRA,1275,855,?,?,0,0,?,?,0,0,PVG,FRA,2019-03-06 17:36:19,2019-03-07 14:51:19,2019-03-07 07:51:19,855,73220,0.76,4.94,3.0,0.0,0.0,3.0,5501.0,20652.95
47,9716,1,AMS,SVO,1190,904,?,?,0,0,?,?,0,0,AMS,SVO,2019-03-20 00:58:10,2019-03-20 20:48:10,2019-03-20 16:02:10,904,3620,0.42,2.05,4.0,0.0,0.0,4.0,1332.0,1146.85
48,4444,1,FRA,CDG,285,257,?,?,0,0,?,?,0,0,FRA,CDG,2019-03-19 04:24:50,2019-03-19 09:09:50,2019-03-19 08:41:50,257,7237,0.3,4.11,4.0,0.0,0.0,4.0,278.0,342.77
49,4988,1,ORD,FRA,975,708,?,?,0,0,?,?,0,0,ORD,FRA,2019-03-15 23:49:11,2019-03-16 16:04:11,2019-03-16 11:37:11,708,73951,0.71,0.65,6.0,0.0,0.0,6.0,4328.0,1997.37
50,5607,1,SIN,LHR,620,778,?,?,0,0,?,?,0,0,SIN,LHR,2019-02-04 19:37:22,2019-02-05 05:57:22,2019-02-05 08:35:22,778,51434,0.66,3.13,2.5,0.0,0.0,2.5,6758.0,13960.68
51,12714,1,LHR,BKK,1130,724,?,?,0,0,?,?,0,0,LHR,BKK,2019-03-17 08:44:44,2019-03-18 03:34:44,2019-03-17 20:48:44,724,13950,0.36,4.7,2.0,0.0,0.0,2.0,5947.0,10062.32
52,5016,1,SVO,FRA,1050,977,?,?,0,0,?,?,0,0,SVO,FRA,2019-01-13 18:54:53,2019-01-14 12:24:53,2019-01-14 11:11:53,977,86360,0.5,3.11,3.0,0.0,0.0,3.0,1257.0,1954.64
53,2448,1,PVG,AMS,1275,839,?,?,0,0,?,?,0,0,PVG,AMS,2019-01-14 17:13:23,2019-01-15 14:28:23,2019-01-15 07:12:23,839,46168,0.76,3.94,4.0,0.0,0.0,4.0,5533.0,16568.02
54,13841,1,LHR,PVG,1400,1104,?,?,0,0,?,?,0,0,LHR,PVG,2019-01-03 00:19:06,2019-01-03 23:39:06,2019-01-03 18:43:06,1104,17219,0.46,0.24,2.0,0.0,0.0,2.0,5738.0,633.48
55,11016,1,FCO,FRA,405,201,?,?,0,0,?,?,0,0,FCO,FRA,2019-03-14 00:11:25,2019-03-14 06:56:25,2019-03-14 03:32:25,201,73167,0.44,3.4,3.5,0.0,0.0,3.5,595.0,890.12
56,7143,1,MUC,OSL,395,142,?,?,0,0,?,?,0,0,MUC,OSL,2019-01-09 19:14:33,2019-01-10 01:49:33,2019-01-09 21:36:33,142,41339,0.75,0.8,2.0,0.0,0.0,2.0,818.0,490.8
57,716,1,DXB,SYD,1045,864,?,?,0,0,?,?,0,0,DXB,SYD,2019-01-04 13:45:57,2019-01-05 07:10:57,2019-01-05 04:09:57,864,77066,0.62,4.3,2.5,0.0,0.0,2.5,7479.0,19939.01
58,3414,1,FRA,CDG,285,167,?,?,0,0,?,?,0,0,FRA,CDG,2019-02-17 14:37:29,2019-02-17 19:22:29,2019-02-17 17:24:29,167,33709,0.76,1.88,4.0,0.0,0.0,4.0,278.0,397.21
59,6995,1,LHR,AMS,100,254,?,?,0,0,?,?,0,0,LHR,AMS,2019-01-21 03:51:24,2019-01-21 05:31:24,2019-01-21 08:05:24,254,7822,0.78,1.92,4.0,0.0,0.0,4.0,230.0,344.45
60,4109,1,FRA,DXB,1020,828,?,?,0,0,?,?,0,0,FRA,DXB,2019-01-11 21:26:13,2019-01-12 14:26:13,2019-01-12 11:14:13,828,80497,0.76,1.05,3.0,0.0,0.0,3.0,3008.0,2400.38
61,4586,1,FRA,LHR,215,139,?,?,0,0,?,?,0,0,FRA,LHR,2019-02-08 20:44:51,2019-02-09 00:19:51,2019-02-08 23:03:51,139,24758,0.59,1.31,3.0,0.0,0.0,3.0,406.0,313.8
62,9641,1,DOH,LHR,1030,802,?,?,0,0,?,?,0,0,DOH,LHR,2019-03-11 12:58:15,2019-03-12 06:08:15,2019-03-12 02:20:15,802,17228,0.75,4.12,2.0,0.0,0.0,2.0,3255.0,10057.95
63,4269,1,FRA,CDG,285,193,?,?,0,0,?,?,0,0,FRA,CDG,2019-01-14 07:14:33,2019-01-14 11:59:33,2019-01-14 10:27:33,193,44470,0.51,3.32,4.0,0.0,0.0,4.0,278.0,470.71
64,9533,1,CPH,FRA,455,180,?,?,0,0,?,?,0,0,CPH,FRA,2019-03-28 22:21:56,2019-03-29 05:56:56,2019-03-29 01:21:56,180,48087,0.51,4.03,3.5,0.0,0.0,3.5,422.0,867.34
65,2593,1,FRA,VIE,300,196,?,?,0,0,?,?,0,0,FRA,VIE,2019-03-06 04:44:00,2019-03-06 09:44:00,2019-03-06 08:00:00,196,4940,0.63,0.36,3.0,0.0,0.0,3.0,386.0,87.54
66,10389,1,FRA,IST,845,719,?,?,0,0,?,?,0,0,FRA,IST,2019-02-08 06:10:55,2019-02-08 20:15:55,2019-02-08 18:09:55,719,15532,0.74,4.83,3.5,0.0,0.0,3.5,1157.0,4135.35
67,12211,1,DXB,AMS,930,900,?,?,0,0,?,?,0,0,DXB,AMS,2019-03-18 04:14:58,2019-03-18 19:44:58,2019-03-18 19:14:58,900,97842,0.7,3.02,4.0,0.0,0.0,4.0,3209.0,6783.83
68,8802,1,FRA,PVG,1220,1030,?,?,0,0,?,?,0,0,FRA,PVG,2019-01-16 14:11:03,2019-01-17 10:31:03,2019-01-17 07:21:03,1030,94449,0.78,0.47,3.0,0.0,0.0,3.0,5501.0,2016.67
69,10852,1,FRA,CDG,285,223,?,?,0,0,?,?,0,0,FRA,CDG,2019-02-10 05:40:47,2019-02-10 10:25:47,2019-02-10 09:23:47,223,51095,0.55,3.18,4.0,0.0,0.0,4.0,278.0,486.22
70,9006,1,LHR,PVG,1045,832,?,?,0,0,?,?,0,0,LHR,PVG,2019-03-18 00:07:14,2019-03-18 17:32:14,2019-03-18 13:59:14,832,72819,0.37,1.79,2.0,0.0,0.0,2.0,5738.0,3800.28
71,4008,1,FRA,FCO,285,175,?,?,0,0,?,?,0,0,FRA,FCO,2019-01-06 12:37:26,2019-01-06 17:22:26,2019-01-06 15:32:26,175,60841,0.36,4.01,3.5,0.0,0.0,3.5,595.0,858.94
72,13042,1,PVG,ORD,1470,971,?,?,0,0,?,?,0,0,PVG,ORD,2019-01-19 20:17:18,2019-01-20 20:47:18,2019-01-20 12:28:18,971,67649,0.72,1.07,5.0,0.0,0.0,5.0,7038.0,5422.08
73,14611,1,BKK,AMS,700,713,?,?,0,0,?,?,0,0,BKK,AMS,2019-02-25 14:34:49,2019-02-26 02:14:49,2019-02-26 02:27:49,713,25163,0.47,0.4,4.0,0.0,0.0,4.0,5717.0,1074.8
74,11030,1,FRA,CPH,265,198,?,?,0,0,?,?,0,0,FRA,CPH,2019-01-20 09:18:23,2019-01-20 13:43:23,2019-01-20 12:36:23,198,97191,0.57,2.63,3.5,0.0,0.0,3.5,422.0,632.62
75,305,1,DOH,LHR,1030,767,?,?,0,0,?,?,0,0,DOH,LHR,2019-02-26 09:10:26,2019-02-27 02:20:26,2019-02-26 21:57:26,767,91013,0.58,4.62,2.0,0.0,0.0,2.0,3255.0,8722.1
76,8504,1,MAD,PVG,1240,990,?,?,0,0,?,?,0,0,MAD,PVG,2019-02-18 08:43:00,2019-02-19 05:23:00,2019-02-19 01:13:00,990,65653,0.79,3.29,2.5,0.0,0.0,2.5,6376.0,16571.86
77,10725,1,FRA,LHR,215,198,?,?,0,0,?,?,0,0,FRA,LHR,2019-02-27 02:12:34,2019-02-27 05:47:34,2019-02-27 05:30:34,198,35928,0.62,2.91,3.0,0.0,0.0,3.0,406.0,732.51
78,3039,2,DXB,PVG,815,616,PVG,SIN,1850,1312,?,?,0,0,DXB,SIN,2019-01-12 22:46:16,2019-01-14 19:11:16,2019-01-14 06:54:16,1928,75408,0.61,1.42,2.0,2.5,0.0,4.5,3630.0,3144.31
79,10466,1,FRA,CDG,285,240,?,?,0,0,?,?,0,0,FRA,CDG,2019-01-08 08:16:30,2019-01-08 13:01:30,2019-01-08 12:16:30,240,24915,0.45,0.6,4.0,0.0,0.0,4.0,278.0,75.06
80,9343,1,CPH,FRA,455,158,?,?,0,0,?,?,0,0,CPH,FRA,2019-01-30 10:44:25,2019-01-30 18:19:25,2019-01-30 13:22:25,158,90418,0.7,2.89,3.5,0.0,0.0,3.5,422.0,853.71
81,4992,1,ORD,FRA,975,896,?,?,0,0,?,?,0,0,ORD,FRA,2019-02-23 01:12:41,2019-02-23 17:27:41,2019-02-23 16:08:41,896,81280,0.38,3.58,6.0,0.0,0.0,6.0,4328.0,5887.81
82,220,1,ORD,FRA,975,721,?,?,0,0,?,?,0,0,ORD,FRA,2019-03-28 08:51:30,2019-03-29 01:06:30,2019-03-28 20:52:30,721,94971,0.68,2.26,6.0,0.0,0.0,6.0,4328.0,6651.27
83,8220,1,DEL,PVG,860,504,?,?,0,0,?,?,0,0,DEL,PVG,2019-02-10 14:28:23,2019-02-11 04:48:23,2019-02-10 22:52:23,504,57074,0.58,4.77,2.5,0.0,0.0,2.5,2665.0,7372.99
84,7182,1,MUC,SIN,1345,1001,?,?,0,0,?,?,0,0,MUC,SIN,2019-01-23 06:47:49,2019-01-24 05:12:49,2019-01-23 23:28:49,1001,2541,0.61,4.87,2.5,0.0,0.0,2.5,6246.0,18554.99
85,441,1,ORD,FRA,985,757,?,?,0,0,?,?,0,0,ORD,FRA,2019-01-19 15:43:45,2019-01-20 08:08:45,2019-01-20 04:20:45,757,15792,0.77,0.57,6.0,0.0,0.0,6.0,4328.0,1899.56
86,12535,1,DXB,AMS,930,906,?,?,0,0,?,?,0,0,DXB,AMS,2019-03-18 14:32:05,2019-03-19 06:02:05,2019-03-19 05:38:05,906,19274,0.56,3.95,4.0,0.0,0.0,4.0,3209.0,7098.31
87,9761,1,CDG,FCO,140,164,?,?,0,0,?,?,0,0,CDG,FCO,2019-01-22 07:19:58,2019-01-22 09:39:58,2019-01-22 10:03:58,164,2469,0.6,1.46,3.5,0.0,0.0,3.5,684.0,599.18
88,12873,1,DXB,PVG,820,483,?,?,0,0,?,?,0,0,DXB,PVG,2019-02-21 08:28:37,2019-02-21 22:08:37,2019-02-21 16:31:37,483,94175,0.35,2.84,2.0,0.0,0.0,2.0,4004.0,3979.98
89,12655,1,LHR,PVG,1400,1034,?,?,0,0,?,?,0,0,LHR,PVG,2019-01-17 06:36:49,2019-01-18 05:56:49,2019-01-17 23:50:49,1034,33340,0.63,1.6,2.0,0.0,0.0,2.0,5738.0,5783.9
90,1737,2,DOH,LHR,1015,835,LHR,CDG,385,242,?,?,0,0,DOH,CDG,2019-02-08 20:52:08,2019-02-09 20:12:08,2019-02-09 14:49:08,1077,22555,0.52,3.0,2.0,3.0,0.0,5.0,3086.0,4814.16
91,5836,2,DEL,LHR,730,744,LHR,ZRH,95,176,?,?,0,0,DEL,ZRH,2019-03-08 13:39:07,2019-03-09 03:24:07,2019-03-09 04:59:07,920,20004,0.45,2.15,2.5,2.5,0.0,5.0,3817.0,3692.95
92,2584,1,FRA,LHR,225,166,?,?,0,0,?,?,0,0,FRA,LHR,2019-03-26 08:43:30,2019-03-26 12:28:30,2019-03-26 11:29:30,166,88592,0.58,1.04,3.0,0.0,0.0,3.0,406.0,244.9
93,4995,1,ORD,FRA,975,851,?,?,0,0,?,?,0,0,ORD,FRA,2019-03-04 16:26:39,2019-03-05 08:41:39,2019-03-05 06:37:39,851,3756,0.42,3.08,6.0,0.0,0.0,6.0,4328.0,5598.7
94,5391,1,ORD,PVG,1700,1278,?,?,0,0,?,?,0,0,ORD,PVG,2019-03-24 19:15:07,2019-03-25 23:35:07,2019-03-25 16:33:07,1278,62335,0.43,4.48,5.0,0.0,0.0,5.0,7038.0,13558.0
95,6333,1,DEL,LHR,1000,951,?,?,0,0,?,?,0,0,DEL,LHR,2019-01-03 07:41:26,2019-01-04 00:21:26,2019-01-03 23:32:26,951,81537,0.67,1.74,2.5,0.0,0.0,2.5,4180.0,4873.04
96,1383,1,FRA,PVG,1220,1041,?,?,0,0,?,?,0,0,FRA,PVG,2019-02-17 14:33:19,2019-02-18 10:53:19,2019-02-18 07:54:19,1041,78797,0.43,2.33,3.0,0.0,0.0,3.0,5501.0,5511.45
97,12642,1,FRA,IST,845,735,?,?,0,0,?,?,0,0,FRA,IST,2019-01-09 03:42:58,2019-01-09 17:47:58,2019-01-09 15:57:58,735,35263,0.36,4.56,3.5,0.0,0.0,3.5,1157.0,1899.33
98,8671,1,HKG,IST,805,667,?,?,0,0,?,?,0,0,HKG,IST,2019-01-25 06:55:44,2019-01-25 20:20:44,2019-01-25 18:02:44,667,38902,0.65,0.7,2.5,0.0,0.0,2.5,4973.0,2262.71
99,8547,1,CDG,MAD,175,251,?,?,0,0,?,?,0,0,CDG,MAD,2019-01-08 16:53:00,2019-01-08 19:48:00,2019-01-08 21:04:00,251,15866,0.71,3.28,3.5,0.0,0.0,3.5,660.0,1537.01
100,13540,1,ORD,DXB,1005,886,?,?,0,0,?,?,0,0,ORD,DXB,2019-03-21 07:34:20,2019-03-22 00:19:20,2019-03-21 22:20:20,886,51293,0.53,2.41,5.0,0.0,0.0,5.0,7228.0,9232.32
101,9438,1,CPH,FRA,455,180,?,?,0,0,?,?,0,0,CPH,FRA,2019-01-22 18:37:20,2019-01-23 02:12:20,2019-01-22 21:37:20,180,78436,0.5,3.75,3.5,0.0,0.0,3.5,422.0,791.25
102,14518,1,CDG,PVG,1250,906,?,?,0,0,?,?,0,0,CDG,PVG,2019-03-20 11:33:44,2019-03-21 08:23:44,2019-03-21 02:39:44,906,59166,0.35,4.27,3.0,0.0,0.0,3.0,5754.0,8599.35
103,671,1,HKG,IST,740,690,?,?,0,0,?,?,0,0,HKG,IST,2019-02-28 22:13:33,2019-03-01 10:33:33,2019-03-01 09:43:33,690,80374,0.64,3.16,2.5,0.0,0.0,2.5,4973.0,10057.4
104,5675,2,DEL,LHR,700,690,LHR,FCO,110,205,?,?,0,0,DEL,FCO,2019-03-13 20:16:33,2019-03-14 09:46:33,2019-03-14 11:11:33,895,24216,0.34,1.82,2.5,2.5,0.0,5.0,3683.0,2279.04
105,6529,1,LHR,DOH,970,754,?,?,0,0,?,?,0,0,LHR,DOH,2019-03-03 14:02:13,2019-03-04 06:12:13,2019-03-04 02:36:13,754,37354,0.37,2.34,2.0,0.0,0.0,2.0,3255.0,2818.18
106,6545,1,PVG,FRA,1275,822,?,?,0,0,?,?,0,0,PVG,FRA,2019-02-06 08:53:04,2019-02-07 06:08:04,2019-02-06 22:35:04,822,14233,0.31,4.11,3.0,0.0,0.0,3.0,5501.0,7008.82
107,309,2,DOH,LHR,1030,961,LHR,MUC,510,412,?,?,0,0,DOH,MUC,2019-02-27 16:26:02,2019-02-28 18:06:02,2019-02-28 15:19:02,1373,34273,0.56,0.0,2.0,2.0,0.0,4.0,2671.0,0.0
108,7567,1,CPH,FRA,455,220,?,?,0,0,?,?,0,0,CPH,FRA,2019-03-16 05:00:45,2019-03-16 12:35:45,2019-03-16 08:40:45,220,75769,0.77,0.83,3.5,0.0,0.0,3.5,422.0,269.7
109,871,1,HKG,FRA,850,550,?,?,0,0,?,?,0,0,HKG,FRA,2019-02-04 23:21:57,2019-02-05 13:31:57,2019-02-05 08:31:57,550,88980,0.54,1.72,3.0,0.0,0.0,3.0,5685.0,5280.23
110,2585,2,ZRH,FCO,80,287,FCO,ARN,130,125,?,?,0,0,ZRH,ARN,2019-01-13 23:42:37,2019-01-14 03:12:37,2019-01-14 06:34:37,412,6354,0.71,3.68,3.0,3.0,0.0,6.0,923.0,2411.61
